,description,link,location,phone,service_name,va_facility
134,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to veterans.,/services/research.asp,VA Ann Arbor Healthcare System,800-361-8387  734-769-7100,Research,www.annarbor
135,This program uses video teleconferencing to link several primary care providers to a specialist at the VA Ann Arbor Medical Center.,/services/scan-echo.asp,VA Ann Arbor Healthcare System,734-222-7594 Ext. 27594  800-361-8387 Ext. 27594,SCAN-ECHO,www.annarbor
136,Social/Community-based Service is an integral part of healthcare. Our program assists veterans with counseling and community services.,/services/socialwork.asp,"HospitalFirst floor, Room B157",734-845-3417,Social Work,www.annarbor
137,"Our specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",/services/specialty.asp,VA Ann Arbor Healthcare System,800-361-8387  734-769-7100,Specialty Care,www.annarbor
138,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery and rehabilitation.",/services/sci.asp,"SCI ClinicHospital2nd floor, Room B206B",800-361-8387  734-769-7100,Spinal Cord Injury (SCI),www.annarbor
139,The goal of the Justice Outreach Program is to provide treatment and support to Veterans who find themselves involved in the criminal justice system.,/services/VJO.asp,VA Ann Arbor Healthcare System,734-645-7950,Veteran Justice Outreach,www.annarbor
140,VITAL is a partnership approach to assist student Veterans excel in the transition from Service Member to Student.,/services/Veterans_Integration_to_Academic_Leadership.asp,VA Ann Arbor Healthcare System,734-845-5793  734-548-3452,Veterans Integration to Academic Leadership (VITAL),www.annarbor
141,"Audiology, Ear, Nose and Throat, Speech Pathology",/services/Audiology.asp,1G102Charles George VA Medical Center,828-298-7911 Ext. 2541,Audiology,www.asheville
142,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",/services/ecrc.asp,"ECRC, First floor, Room 112-62",828-298-7911,Extended Care and Rehabilitation,www.asheville
143,Home Based Primary Care (HBPC) serves as the primary care provider for veterans with complex chronic diseases for whom traditional clinic based care is not effective.,/services/Home_Based_Primary_Care.asp,"Building 57, 5th floor, Room 112-62",828-298-7911 Ext. 5703,Home Based Primary Care,www.asheville
144,Our Hospice and Palliative Care Service provides inpatient and outpatient consultation at the Charles George VA Medical Center.,/services/Hospice_and_Palliative_Care.asp,Charles George VA Medical Center,828-298-7911 Ext. 1760/3158/5312,Hospice and Palliative Care,www.asheville
145,The Medical Foster Home Program matches disabled Veterans with non-family caregivers who share their homes to provide ongoing care.,/services/MFHC.asp,Charles George VA Medical Center,828-298-7911 Ext. 5834,Medical Foster Home Care,www.asheville
146,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,"Mental Health ClinicBuilding 70, First floor, Room B70MH",828-298-7911,Mental Health,www.asheville
147,"My HealtheVet is a free, online Personal Health Record available to Veterans, their family members and VA employees.",/services/MHV.asp,Charles George VA Medical Center,828-298-7911 Ext. 3511  828-298-7911 Ext. 5954,MyHealthevet Coordinator,www.asheville
148,"Our pharmacy processes more than 5,000 prescriptions daily. Prescriptions may be refilled by mail, phone, or online.",/services/pharmacy.asp,"Outpatient PharmacyAmbulatory Care building, First floor, Room B144",828-298-7911 Ext. 2  800-932-6408 Ext. 2,Pharmacy,www.asheville
149,"VA Police serve as a protective police force in order to deter and prevent crime, maintain order, and investigate crimes within their jurisdiction.",/services/VA_Police.asp,Building 47,828-298-7911 Ext. 5310,Police,www.asheville
150,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,/services/primary.asp,"Ambulatory CareFirst floor, Room 1APC",828-298-7911,Primary Care,www.asheville
151,The predoctoral internship program at the Asheville VA Medical Center is fully accredited by the American Psychological Association.,/services/Psychology.asp,"1100 Tunnel RoadAsheville, NC 28805",828-298-7911 Ext. 5116,Psychology Services,www.asheville
152,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to veterans.,/services/research.asp,"Building 47, Basement level, BRes",828-299-5909,Research,www.asheville
153,"Rural Health offers health education, benefits information, and health services to Veterans in the communities that the Medical Center serves.",/services/ruralhealth.asp,Charles George VA Medical Center,828-296-4462,Rural Health,www.asheville
154,Social Work provides eligible Veterans and their families with counseling and services that help them with community adjustment and social functioning.,/services/socialwork.asp,"Building 47, 4th floor, Room A469",828-298-7911 Ext. 5335,Social Work,www.asheville
155,"Our specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",/services/specialty.asp,Charles George VA Medical Center,828-299-5356,Specialty Care,www.asheville
156,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery and rehabilitation.",/services/sci.asp,"Charles George VA Medical Center, Main Building, 1st Floor",828-298-7911 Ext. 2517,Spinal Cord Injury,www.asheville
157,Our Women Veterans Program Manager advises and advocates for women Veterans.,/services/Women_Veterans_Health.asp,Charles George VA Medical CenterBuilding 47Women Veterans Health Clinic,828-298-7911 Ext. 5434,Women Veterans Health,www.asheville
158,Our team of Audiologists provides comprehensive Audiology services.,/services/Audiology.asp,"Clinical Addition, GA107",404-321-6111 Ext. 6515  404-321-6111 Ext. 6520,Audiology,www.atlanta
159,The Bronze Clinic is a Geriatric Primary Care Clinic with specially trained interdisciplinary staff equipped to treat veterans above the age of 75.,/services/Bronze_Geri_PACT_Clinic.asp,"Building C, 11th floor",404-728-7663,Bronze Geri-PACT Clinic,www.atlanta
160,CWT Program information at the Atlanta VAMC,/services/CWT_Program.asp,Atlanta VAMC,404-321-6111 Ext. 6900,CWT Program,www.atlanta
161,"Competent, kind, and respectful spiritual care is available 24 hours a day, 7 days a week.",/services/Chaplain_Service.asp,"Chaplain Service Offices, 1C186Chapel, 1C182BGathering Place, 1C182",404-321-6111 Ext. 6870  404-321-6111 Ext. 6871,Chaplain Service,www.atlanta
162,"The Compensation and Pension Clinic offers the following types of services:  C and P Evaluation, Agent Orange Registry, Gulf War Program, and Special Examinations.",/services/Compensation_and_Pension.asp,Fulton County Clinic,404-321-6111 Ext. 1900,Compensation and Pension,www.atlanta
163,The Dental Clinic provides dental services for veterans eligible for VA dental care.,/services/Dental_Clinic.asp,"Main Building, 1C400Trinka Davis Veterans Village, Carrollton",404-321-6111 Ext. 6400,Dental Clinic,www.atlanta
164,"The Emergency Department is a 15-bed unit that is open 24 hours a day, 365 days per year.",/services/Emergency_Department.asp,"Main Campus, Building B, 1st floor",404-321-6111,Emergency Department,www.atlanta
165,"In the event of an emergency or disaster, the Atlanta VAMC will implement the Emergency Operations Plans to make certain that the necessary services are provided.",/services/Emergency_Management.asp,3A187,404-321-6111 Ext. 5895  404-583-3938,Emergency Management,www.atlanta
166,Empower Veterans Program coaches Veterans with chronic pain to live a fuller life by moving toward their own Wellness goals.,/services/Empower_Veterans_Program.asp,Atlanta VA Clinic,404-321-6111 Ext. 3344,Empower Veterans Program,www.atlanta
167,Provides comprehensive financial support to the Atlanta VA Medical,/services/Financial_Management.asp,"Admin 1, 200 East Ponce de Leon, Decatur, GA",404-321-6111 Ext. 6320,Financial Management,www.atlanta
168,Grounds and Transportation,/services/Grounds_and_Transportation.asp,Room 101B-12,404-321-6111 Ext. 7188  404-321-6111 Ext. 6065,Grounds and Transportation,www.atlanta
169,Administrative Support and Processing,/services/Health_Administration_Service_HAS.asp,"HAS staff are located throughout the main campusAdmin II, 755 Commerce Dr, Decatur, 3rd FloorAdmin I, 200 Church St, Decatur, 1st Floor",404-321-6111 Ext. 7460  404-321-6111 Ext. 6458/7021,Health Administration Service (HAS),www.atlanta
170,"If you are a veteran who is eligible for VA HealthCare, Medicare or Medicaid and you have a terminal condition, you may qualify for hospice care.",/services/Hospice.asp,Atlanta VAMC,404-321-6111 Ext. 4375,Hospice Services,www.atlanta
171,"e ID Section is responsible for inpatient ID consults, the Infection Control Program and Antibiotic Stewardship.",/services/Infection_Disease_Section_of_the_Medical_Specialty_Care_Service_Line.asp,"Building C, Waiting Room is 11C-167",404-321-6111 Ext. 7748  404-728-7748,Infection Disease Section of the Medical Specialty Care Service Line,www.atlanta
172,"The primary mission of Medical Specialty Care Services is to serve our Veterans with high quality, evidence-based, patient centered care.",/services/Medical_Specialty_Care_Services.asp,Main Campus,404-321-6111 Ext. 6480,Medical Specialty Care Services,www.atlanta
173,The Mental Health Service Line at the Atlanta VAMC is dedicated to providing the highest quality mental health care in a timely manner to veterans.,/services/Mental_Health_Service_Line.asp,"Main building, Room 120-171",404-321-6111 Ext. 7620,Mental Health Service Line,www.atlanta
174,Nuclear Medicine is a medical specialty involving the use of radioactive substances for diagnostic imaging and treatment of disease.,/services/Nuclear_Medicine_Service_Line.asp,"Main Building, Room 1C320",404-321-6111 Ext. 6156,Nuclear Medicine Service Line,www.atlanta
175,Nutrition and Food Services shall provide medical nutrition therapy to all supported Primary Care Clinic located at the main VAMC and CBOCs five days a week.,/services/Nutrition_and_Food_Services.asp,Main Campus,404-321-6111,Nutrition and Food Services,www.atlanta
176,The OEF/OIF/OND provides transition and care management services to returning combat Veterans.,/services/OEF_OIF_ONd.asp,"Build B: Outpatient Entrance of the Hospital; 2nd floor, across from the main lab",404-321-6111 Ext. 2097  404-321-6111 Ext. 6343,OEF/OIF/OND,www.atlanta
177,PM and R providers care for patients with musculoskeletal and neurologic impairments.,/services/PM_R.asp,"Main Hospital, room 1C224",404-321-6111 Ext. 6670  404-321-6111 Ext. 6671,PM&R,www.atlanta
178,Our inpatient unit is dedicated to the support and care of veterans with potentially life-threatening illnesses as well as the support of the veterans family.,/services/PalliativeInpatient.asp,Atlanta VAMC,404-321-6111 Ext. 4375,Palliative Care (Inpatient),www.atlanta
179,Palliative care is a medical specialty that helps patients and their families live as fully as possible when faced with a potentially life-threatening illness.,/services/Palliative.asp,Atlanta VAMC,404-321-6111 Ext. 4375,Palliative Care (Outpatient),www.atlanta
180,Outpatient pharmacy services include prescriptions and medical supplies available 7 days a week.,/services/Phamacy_Service.asp,"Main Hospital, Room 1B335",404-321-6111 Ext. 7690  404-321-6111 Ext. 6641,Phamacy Service,www.atlanta
